source_action,action_category,stimulus_type,genre,allocation_level,n,mean_identity_preservation,sd_identity_preservation,mean_expressivity,sd_expressivity
waving_hello,social_repetitive,original_pre,none,none,20,,,4.3,0.86
waving_hello,social_repetitive,original_post,none,none,20,,,4.5,0.95
waving_hello,social_repetitive,rendered,ballet,20,20,6.1,0.55,4.75,0.64
waving_hello,social_repetitive,rendered,ballet,40,20,5.4,0.6,5.4,1.1
waving_hello,social_repetitive,rendered,ballet,60,20,4.85,0.75,5.5,0.83
waving_hello,social_repetitive,rendered,jazz,20,20,5.95,0.69,5,0.86
waving_hello,social_repetitive,rendered,jazz,40,20,5.8,0.77,5.4,0.88
waving_hello,social_repetitive,rendered,jazz,60,20,4.7,0.73,5.8,0.52
waving_hello,social_repetitive,rendered,hip_hop,20,20,6,0.65,4.7,1.03
waving_hello,social_repetitive,rendered,hip_hop,40,20,5.5,0.51,4.95,0.94
waving_hello,social_repetitive,rendered,hip_hop,60,20,4.5,0.61,5.65,0.88
shaking_hands,social_non_repetitive,original_pre,none,none,20,,,2.85,0.75
shaking_hands,social_non_repetitive,original_post,none,none,20,,,3.2,1.11
shaking_hands,social_non_repetitive,rendered,ballet,20,20,6.4,0.5,2.45,0.76
shaking_hands,social_non_repetitive,rendered,ballet,40,20,5.8,0.62,3.15,0.75
shaking_hands,social_non_repetitive,rendered,ballet,60,20,5.75,0.64,3.35,1.14
shaking_hands,social_non_repetitive,rendered,jazz,20,20,6.75,0.44,2.8,0.77
shaking_hands,social_non_repetitive,rendered,jazz,40,20,6.05,0.6,3,0.79
shaking_hands,social_non_repetitive,rendered,jazz,60,20,5.65,0.59,3.7,0.92
shaking_hands,social_non_repetitive,rendered,hip_hop,20,20,6.55,0.69,3.1,0.91
shaking_hands,social_non_repetitive,rendered,hip_hop,40,20,6.15,0.75,3.35,0.81
shaking_hands,social_non_repetitive,rendered,hip_hop,60,20,5.4,0.68,4.1,0.97
walking,non_social_repetitive,original_pre,none,none,20,,,3.25,0.85
walking,non_social_repetitive,original_post,none,none,20,,,3.4,1.27
walking,non_social_repetitive,rendered,ballet,20,20,6.3,0.57,3.4,1.1
walking,non_social_repetitive,rendered,ballet,40,20,5.9,0.55,4,0.73
walking,non_social_repetitive,rendered,ballet,60,20,5.2,0.77,4.3,0.8
walking,non_social_repetitive,rendered,jazz,20,20,6.5,0.51,2.9,0.91
walking,non_social_repetitive,rendered,jazz,40,20,6.1,0.55,3.75,0.91
walking,non_social_repetitive,rendered,jazz,60,20,5.55,0.76,3.95,1.0
walking,non_social_repetitive,rendered,hip_hop,20,20,6.2,0.77,3.9,0.72
walking,non_social_repetitive,rendered,hip_hop,40,20,6.2,0.52,4.35,0.75
walking,non_social_repetitive,rendered,hip_hop,60,20,5.25,0.55,4.2,0.89
working_on_ladder,non_social_non_repetitive,original_pre,none,none,20,,,4.2,0.7
working_on_ladder,non_social_non_repetitive,original_post,none,none,20,,,4.45,0.83
working_on_ladder,non_social_non_repetitive,rendered,ballet,20,20,6.05,0.6,4.5,0.76
working_on_ladder,non_social_non_repetitive,rendered,ballet,40,20,5.35,0.67,5.2,0.95
working_on_ladder,non_social_non_repetitive,rendered,ballet,60,20,5,0.92,5.8,0.83
working_on_ladder,non_social_non_repetitive,rendered,jazz,20,20,6.25,0.55,4.5,0.95
working_on_ladder,non_social_non_repetitive,rendered,jazz,40,20,5.5,0.69,4.9,0.72
working_on_ladder,non_social_non_repetitive,rendered,jazz,60,20,5.1,0.64,4.9,0.72
working_on_ladder,non_social_non_repetitive,rendered,hip_hop,20,20,5.9,0.64,4.45,0.83
working_on_ladder,non_social_non_repetitive,rendered,hip_hop,40,20,5.5,0.69,4.75,1.02
working_on_ladder,non_social_non_repetitive,rendered,hip_hop,60,20,4.75,0.64,5.4,1.1
